,Overall Accuracy,Average Accuracy,Kappa Coefficient,Overall Accuracy Std,Average Accuracy Std,Kappa Coefficient Std
GCN,0.9674589362161612,0.9716107140303624,0.9548876877337508,0.006896292712433422,0.007369751855188985,0.009560873066907826
MOB-GCN,0.9763907061827511,0.9809630159709695,0.9672797557934109,2.4269837236925053e-05,3.6726256592208744e-05,3.3767578519935635e-05
MOB-GCN (Optimal),0.9763780027693441,0.9809445390983107,0.9672619628566983,2.4925897013856866e-05,4.1264988897929584e-05,3.475412147077059e-05
