Overall Accuracy,Average Accuracy,Kappa Coefficient,Overall Accuracy Std,Average Accuracy Std,Kappa Coefficient Std
Label Propagation,0.986304606080242,0.9645091102748472,0.9805998081126657,0.0,0.0,1.1102230246251565e-16
GCN,0.9512138974741553,0.8439899379851956,0.9306434673446408,0.004197811560747314,0.011537558697532115,0.006022353672052324
MGN,0.9839397491918008,0.9502837695806724,0.97725246354104,0.0016987461358202727,0.007563255485088265,0.002405706325653661
MGN (Felzenswalb Strategy),0.9850666098262815,0.9524964873782185,0.9788464671694765,0.002009020174710704,0.007939960416912095,0.0028456301592748026
MGN (Kmeans Strategy),0.9841941099150947,0.9530994568523228,0.9776144288683767,0.0010892212594723518,0.004002990951597666,0.0015419935615252644
