Overall Accuracy,Average Accuracy,Kappa Coefficient,Overall Accuracy Std,Average Accuracy Std,Kappa Coefficient Std
Label Propagation,0.9899630109617148,0.9759368464042255,0.9857880869459288,2.220446049250313e-16,0.0,1.1102230246251565e-16
GCN,0.9536070258067904,0.8526054303942951,0.9340112728956713,0.0042559098729314845,0.013289128831676843,0.006125425629390942
MGN,0.986460622332886,0.959896494684598,0.9808230227498866,0.002640449459598368,0.012718794136482563,0.003741926756786751
MGN (Felzenswalb Strategy),0.9866368674861441,0.9629981839367261,0.9810748288837395,0.0013977724390235727,0.0035970036589137327,0.0019790858827777444
MGN (Kmeans Strategy),0.9863751246840711,0.9610902507792278,0.9807043290729339,0.0017214634243170183,0.00523256278612365,0.002435989519078033
