Overall Accuracy,Average Accuracy,Kappa Coefficient,Overall Accuracy Std,Average Accuracy Std,Kappa Coefficient Std
Label Propagation,0.99248831495132,0.9889409881156261,0.9916361541413273,0.0012480865905557738,0.0018149646096818164,0.001389442499053405
GCN,0.8696128191665208,0.8756293901254466,0.8539481490915737,0.009485171495692116,0.0068524076933896855,0.010722315174577179
MGN,0.991772164206678,0.9927543019991552,0.9908417349958727,0.0041828754024938845,0.0014038318929857376,0.004652308130559843
MGN (Felzenswalb Strategy),0.9943702234408729,0.9934055478867687,0.9937322529255341,0.0012697942719645983,0.0008058685894618112,0.0014128438325049443
MGN (Kmeans Strategy),0.9938257200085564,0.9934505119402892,0.9931263706935567,0.001197763903184712,0.00036829507852115576,0.0013326277631384453
