,Overall Accuracy,Average Accuracy,Kappa Coefficient,Overall Accuracy Std,Average Accuracy Std,Kappa Coefficient Std
GCN,0.8345423143350604,0.7223500113414267,0.8142305598340224,0.013240330486082218,0.015424353980973193,0.014981746276237471
MOB-GCN,0.9356553444636345,0.8563036723989385,0.9281873751400628,0.013658511583570737,0.012774791897908745,0.015200385055784173
MOB-GCN (Optimal),0.9422375743619267,0.8656539280540889,0.9355131927200577,0.010750609186939642,0.01992068425739128,0.01198195393600519
