,Overall Accuracy,Average Accuracy,Kappa Coefficient,Overall Accuracy Std,Average Accuracy Std,Kappa Coefficient Std
GCN,0.8870914235535174,0.7667496658452344,0.8701468106116839,0.011678890688971414,0.02104201234439027,0.013476224469028974
MOB-GCN,0.9565616157673918,0.9511309479843698,0.9503824842043593,0.0031428605897139573,0.008761568961039074,0.0036136721853619208
MOB-GCN (Optimal),0.95607376329398,0.9494103123596735,0.9498266803975929,0.001773422587333254,0.005220576361774095,0.0020353556857297425
