,Overall Accuracy,Average Accuracy,Kappa Coefficient,Overall Accuracy Std,Average Accuracy Std,Kappa Coefficient Std
GCN,0.8603147188639418,0.7453145987999437,0.8432895715138375,0.015750551372633433,0.015225291267448834,0.017767895461655667
MOB-GCN,0.9270581462291307,0.8337938198308066,0.9184678651075482,0.0017722622382888116,0.003107453486325302,0.001996372592774455
MOB-GCN (Optimal),0.9317789291882557,0.8512439830160498,0.9237718267716504,0.006402878764422526,0.024778386159653637,0.007187606135670462
