Overall Accuracy,Average Accuracy,Kappa Coefficient,Overall Accuracy Std,Average Accuracy Std,Kappa Coefficient Std
Label Propagation,0.9965083411849471,0.9944201028058048,0.9961124209258767,1.1102230246251565e-16,2.220446049250313e-16,0.0
GCN,0.8591805735164316,0.8660425135271007,0.8421726277303943,0.007926082547199122,0.0057508369090074635,0.008988927350084134
MGN,0.9923147977092185,0.9929452409654301,0.991449811002813,0.005128658100579225,0.00147341857705226,0.005701301464420128
MGN (Felzenswalb Strategy),0.9955580187614179,0.9939961299571566,0.9950549149994696,0.0012277035245034599,0.0006196404750998884,0.001367394825238926
MGN (Kmeans Strategy),0.9949483753104668,0.9938065745992745,0.994377205130545,0.0018648258392195685,0.0006437988687774351,0.002074388540196295
