GCN,Label Propagation,MGN,MGN (Felzenswalb Strategy),MGN (Kmeans Strategy)
1,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0
3,0.9099999999999999,1.0,1.0,1.0,1.0
4,0.9690000000000001,0.99,0.99,0.99,0.99
5,0.9529999999999997,0.99,0.99,0.99,0.99
6,1.0,1.0,1.0,1.0,1.0
7,0.9700000000000001,1.0,1.0,1.0,1.0
8,0.77,1.0,0.99,0.998,0.9960000000000001
9,0.9200000000000002,1.0,1.0,1.0,1.0
10,0.9120000000000001,0.9800000000000001,0.9810000000000001,0.9860000000000001,0.984
11,0.0,1.0,0.9810000000000001,0.9860000000000001,0.984
12,0.99,1.0,1.0,1.0,1.0
13,0.99,0.99,0.99,0.99,0.99
14,0.9700000000000001,0.9600000000000002,0.9700000000000001,0.9700000000000001,0.9700000000000001
15,0.533,1.0,0.985,0.9970000000000001,0.9960000000000001
16,0.9409999999999998,1.0,1.0,1.0,1.0
