,Overall Accuracy,Average Accuracy,Kappa Coefficient,Overall Accuracy Std,Average Accuracy Std,Kappa Coefficient Std
GCN,0.9593376440249495,0.9637040930594015,0.9436682106312098,0.009115703297938278,0.010115636851113944,0.012639809617683465
MOB-GCN,0.9778719241860289,0.982704932455043,0.9693377627934424,8.358228203911449e-05,7.877993918488017e-05,0.00011550322357878391
MOB-GCN (Optimal),0.9778312732631258,0.9826608024890643,0.9692814666410119,4.4895379888131257e-05,4.549506044626185e-05,6.196071139805815e-05
