epoch,loss,accuracy
0,1,2.793590784072876,0.4328848721372086
1,2,2.686189651489258,0.3755776933347027
2,3,2.5459084510803223,0.3613022491527164
3,4,2.3507630825042725,0.3613022491527164
4,5,2.1231331825256348,0.3613022491527164
5,6,2.0225017070770264,0.3613022491527164
6,7,1.9671763181686401,0.3613022491527164
7,8,1.788394570350647,0.387285611584677
8,9,1.78450608253479,0.38666940536099415
9,10,1.7792186737060547,0.5041593920098593
10,11,1.7888062000274658,0.4875218239704221
11,12,1.7360997200012207,0.46975454452089965
12,13,1.6173659563064575,0.4682140289616925
13,14,1.6173644065856934,0.46544110095511965
14,15,1.583799958229065,0.4682140289616925
15,16,1.6064093112945557,0.48495429803841017
16,17,1.513121485710144,0.49553250487829925
17,18,1.4848389625549316,0.5066242169045907
18,19,1.4895566701889038,0.511656567731334
19,20,1.4623125791549683,0.5159700112971141
20,21,1.3989434242248535,0.5139159905515046
21,22,1.3966559171676636,0.5067269179418712
22,23,1.3965591192245483,0.5067269179418712
23,24,1.3421787023544312,0.5070350210537127
24,25,1.3575376272201538,0.5256239088014789
25,26,1.2990148067474365,0.536202115641368
26,27,1.3144137859344482,0.5478073328540618
27,28,1.281612753868103,0.5605422614768409
28,29,1.263322353363037,0.5602341583649995
29,30,1.2451611757278442,0.5647530040053405
30,31,1.2441284656524658,0.5682448392728766
31,32,1.2268071174621582,0.5625962822224504
32,33,1.182360291481018,0.5672178289000719
33,34,1.1772234439849854,0.58190407723118
34,35,1.1198570728302002,0.5837526959022286
35,36,1.1271265745162964,0.5870391290952038
36,37,1.1326695680618286,0.595460614152203
37,38,1.1097947359085083,0.6263736263736264
38,39,1.0740412473678589,0.6341789052069426
39,40,1.0748682022094727,0.630173564753004
40,41,1.0752503871917725,0.6276060388209921
41,42,0.9877715110778809,0.6371572352880764
42,43,1.014992594718933,0.6537948033275136
43,44,1.003962755203247,0.6679675464722193
44,45,0.9509980082511902,0.6743350107836089
45,46,0.9377171993255615,0.6731025983362432
46,47,0.9145137667655945,0.7062750333778371
47,48,0.8822058439254761,0.7244531169764815
48,49,0.8398545384407043,0.7327719009962
49,50,0.7980227470397949,0.7318475916606758
50,51,0.8209766149520874,0.7293827667659444
51,52,0.7810982465744019,0.750436479408442
52,53,0.7951560020446777,0.7534148094895758
53,54,0.7919524312019348,0.7382150559720653
54,55,0.7296359539031982,0.731025983362432
55,56,0.7457888126373291,0.7576255520180754
56,57,0.7393897175788879,0.7606038820992091
57,58,0.6981236934661865,0.7581390572044777
58,59,0.6823721528053284,0.7731334086474273
59,60,0.6944497227668762,0.7787819656978535
60,61,0.6702948212623596,0.7851494300092431
61,62,0.7072717547416687,0.7956249358118517
