,Overall Accuracy,Average Accuracy,Kappa Coefficient,Overall Accuracy Std,Average Accuracy Std,Kappa Coefficient Std
GCN,0.884265366069944,0.9069692747436378,0.8705264946441428,0.02035105980530075,0.018679012578244527,0.022935497521579806
MOB-GCN,0.984705056439247,0.9901198461504241,0.9829744711669633,0.003263671013170751,0.0009796116597458452,0.003629906305356132
MOB-GCN (Optimal),0.9882114947625119,0.9911741381919927,0.9868739473847767,0.0032951949541176386,0.0009875257099454088,0.003665406104678327
