,Overall Accuracy,Average Accuracy,Kappa Coefficient,Overall Accuracy Std,Average Accuracy Std,Kappa Coefficient Std
GCN,0.8743279942359917,0.8788653383040124,0.8593573464249683,0.016898103730199385,0.016926503303026696,0.01903553000463414
MOB-GCN,0.9847309205786179,0.9904835543296082,0.983008879536664,0.007823247785704915,0.002332085026932978,0.008685793167302098
MOB-GCN (Optimal),0.9903249644368085,0.9922598034228294,0.9892259069200884,0.002180072179557377,0.0008985173776360139,0.0024258389926879002
