,Overall Accuracy,Average Accuracy,Kappa Coefficient,Overall Accuracy Std,Average Accuracy Std,Kappa Coefficient Std
GCN,0.8877348556226792,0.9094782902950295,0.8744726006236462,0.019024976841369327,0.01820403806438722,0.021436861125155835
MOB-GCN,0.986231040662122,0.9905311150598568,0.9846712837927024,0.0031897945501261223,0.0009579357791831495,0.0035474754854472896
MOB-GCN (Optimal),0.9896210903582181,0.9915495661999737,0.9884416154971971,0.0020484886227566707,0.0006134180413933236,0.0022796022393049347
