,Overall Accuracy,Average Accuracy,Kappa Coefficient,Overall Accuracy Std,Average Accuracy Std,Kappa Coefficient Std
GCN,0.8622499756073763,0.6789896403054294,0.8409990457006158,0.0047461401780488285,0.019514514913773023,0.00562323476688056
MOB-GCN,0.9223826714801444,0.9019812502499981,0.9111940645251393,0.002647470690060513,0.006932789269985695,0.003068692215190401
MOB-GCN (Optimal),0.9225485413211045,0.902673463334622,0.9113912467434442,0.003086313761329544,0.0051490810566143155,0.00356792872736438
