,Overall Accuracy,Average Accuracy,Kappa Coefficient,Overall Accuracy Std,Average Accuracy Std,Kappa Coefficient Std
GCN,0.9649652561643315,0.9693628054892629,0.9514652255437811,0.00908150569776186,0.009247232620414358,0.012562075866855281
MOB-GCN,0.9744674093929039,0.9791770978921365,0.9646139456644317,0.00013377243219423775,0.00017548812289365503,0.00018559595785328284
MOB-GCN (Optimal),0.9745004382677627,0.9791987408511391,0.9646592302038165,0.0001603903416381982,0.000190834400780075,0.00022198085888666452
