,Overall Accuracy,Average Accuracy,Kappa Coefficient,Overall Accuracy Std,Average Accuracy Std,Kappa Coefficient Std
GCN,0.9303571428571429,0.9312411004091261,0.9245467192544113,0.03242356149691369,0.03056161398317535,0.0350563010525617
MOB-GCN,0.9579741379310345,0.9584876741641775,0.95445486976191,0.00046182266009853207,0.0003983005841741716,0.0004993170187753693
MOB-GCN (Optimal),0.9577894088669952,0.9583283539305079,0.9542551429543998,0.00042326745950947703,0.0003650485152646543,0.00045763160686356326
