,Overall Accuracy,Average Accuracy,Kappa Coefficient,Overall Accuracy Std,Average Accuracy Std,Kappa Coefficient Std
GCN,0.9510160098522167,0.9505075923491351,0.946905583552071,0.012319465110924346,0.013237902164183529,0.013369058260519144
MOB-GCN,0.9579741379310345,0.9584876741641775,0.95445486976191,0.00046182266009853207,0.0003983005841741716,0.0004993170187753693
MOB-GCN (Optimal),0.9576046798029557,0.9581690336968383,0.9540554161468897,0.00027709359605911923,0.00023898035050450296,0.0002995902112652216
