,Overall Accuracy,Average Accuracy,Kappa Coefficient,Overall Accuracy Std,Average Accuracy Std,Kappa Coefficient Std
GCN,0.8109575897140664,0.6940018360215763,0.787741426442398,0.005762455086620915,0.006563893052778185,0.006502238972811331
MOB-GCN,0.930224525043178,0.8679559460549159,0.9221442139977383,0.010665042062073856,0.03111648717060623,0.011938634584746938
MOB-GCN (Optimal),0.9354250623680676,0.8913876780205896,0.9280193300018915,0.00491751735294115,0.016947851004274275,0.005511820229316042
