,Overall Accuracy,Average Accuracy,Kappa Coefficient,Overall Accuracy Std,Average Accuracy Std,Kappa Coefficient Std
GCN,0.8934920480046834,0.7962105599641459,0.8777904662341817,0.013040193495060535,0.044136251493434184,0.01498486761701487
MOB-GCN,0.9695677627085569,0.9725543516666022,0.9652634382590346,0.0018836160261328314,0.0012979513329765579,0.00215967926152638
MOB-GCN (Optimal),0.9702019709239925,0.9734138070069935,0.9659916041159526,0.0013964516079863186,0.0009130621079223445,0.0016012113413009735
