,Overall Accuracy,Average Accuracy,Kappa Coefficient,Overall Accuracy Std,Average Accuracy Std,Kappa Coefficient Std
GCN,0.9541504670878558,0.8605420287989517,0.9349297415250339,0.00454455117431899,0.01730956124936824,0.0065569477805704456
MOB-GCN,0.9657486905340461,0.902362094673505,0.951516044374824,0.0014573751150847836,0.0028411752952774774,0.002057885399883124
MOB-GCN (Optimal),0.9676960149036125,0.906611349315534,0.9542685131439654,0.001571351171266839,0.0037450667758521503,0.002222999120080482
