Overall Accuracy,Average Accuracy,Kappa Coefficient,Overall Accuracy Std,Average Accuracy Std,Kappa Coefficient Std
Label Propagation,0.7841643087130452,0.7574129423389808,0.7568084051192991,0.0021958564446662456,0.021515467760968167,0.0025808113452193615
GCN,0.7971038307486907,0.632391634615583,0.7643059075765652,0.007646256035035013,0.020410887684038627,0.009061484574977935
MGN,0.9261887645065215,0.89803636551671,0.9157695347191593,0.0032606730222431604,0.0038542015624906346,0.003758705369540005
MGN (Felzenswalb Strategy),0.9233028653589402,0.8946353026807066,0.9124747687754219,0.005781767402225946,0.007524664209182265,0.006629132149674262
MGN (Kmeans Strategy),0.920899661086577,0.8862495502039966,0.9097439077241957,0.003398085409213235,0.008221695466146086,0.003899585930619101
