,Overall Accuracy,Average Accuracy,Kappa Coefficient,Overall Accuracy Std,Average Accuracy Std,Kappa Coefficient Std
GCN,0.955288487499325,0.8624510113479495,0.9365063711169934,0.005196699880598024,0.022511630345374574,0.007526787500888207
MOB-GCN,0.9655684702197742,0.9061953474774367,0.9512683400882522,0.0019516133302300333,0.006039326676303449,0.0027593886975785867
MOB-GCN (Optimal),0.9688414601220368,0.9141697560159263,0.9559020088716205,0.0022779928710189123,0.00806973033416288,0.003220512650781774
