,Overall Accuracy,Average Accuracy,Kappa Coefficient,Overall Accuracy Std,Average Accuracy Std,Kappa Coefficient Std
GCN,0.9550097197472865,0.8548008455932473,0.9360840556628489,0.0049461479679359325,0.017729231355333885,0.00716329694233349
MOB-GCN,0.9658661374804254,0.9022157258010488,0.9517003740593786,0.0018605362015349694,0.004935658194010067,0.0026374717623883037
MOB-GCN (Optimal),0.9677149144122252,0.9082824820795196,0.9543352131019732,0.0024506147692778067,0.006460381751433034,0.0034735828740669384
