,Overall Accuracy,Average Accuracy,Kappa Coefficient,Overall Accuracy Std,Average Accuracy Std,Kappa Coefficient Std
GCN,0.9268472906403942,0.9264771510625047,0.9207578459046921,0.01965588230380939,0.017321093291830163,0.02129398482802161
MOB-GCN,0.937130541871921,0.9366331232831646,0.9318960424344024,0.0021143207775110163,0.005551475146383772,0.0022952018370135416
MOB-GCN (Optimal),0.9367610837438424,0.9363144828158253,0.9314966269570586,0.002365686294618032,0.005459548209731284,0.002565591429651516
