Overall Accuracy,Average Accuracy,Kappa Coefficient,Overall Accuracy Std,Average Accuracy Std,Kappa Coefficient Std
Label Propagation,0.9078934530198068,0.8846859692223277,0.8951335950704167,0.0,1.1102230246251565e-16,1.1102230246251565e-16
GCN,0.8177127371273711,0.6657304447292788,0.7885946858073795,0.015235516874549281,0.0320747066581201,0.01810409207081729
MGN,0.9584390243902439,0.9440919901698122,0.9526134626589817,0.0026057780779085416,0.004845171270576531,0.002979420970279088
MGN (Felzenswalb Strategy),0.9566504065040652,0.9380337853536138,0.9505706797428619,0.0019502858350294177,0.0069619881715395375,0.002227315134418511
MGN (Kmeans Strategy),0.9562818428184283,0.9411648429422245,0.9501495207944648,0.0022499688887390934,0.005709481795262023,0.0025771961549938857
