GCN,Label Propagation,MGN,MGN (Felzenswalb Strategy),MGN (Kmeans Strategy)
1,,0.55,0.834,0.7859999999999999,0.818
2,0.774,0.9099999999999999,0.9359999999999999,0.932,0.931
3,0.6500000000000001,0.9200000000000002,0.917,0.9179999999999999,0.916
4,0.42000000000000004,0.71,0.82,0.8039999999999999,0.8100000000000002
5,0.9580000000000002,0.9200000000000002,0.9760000000000002,0.9730000000000001,0.968
6,0.99,0.9499999999999998,1.0,1.0,1.0
7,0.932,0.7,0.9099999999999999,0.8920000000000001,0.898
8,0.944,0.9499999999999998,0.9890000000000001,0.9860000000000001,0.9880000000000001
9,,0.45,0.9560000000000001,0.9730000000000001,0.9540000000000001
10,0.722,0.8800000000000001,0.9339999999999999,0.9289999999999999,0.9279999999999999
11,0.79,0.9499999999999998,0.9730000000000001,0.9720000000000001,0.9709999999999999
12,0.7030000000000001,0.8699999999999999,0.917,0.9179999999999999,0.922
13,0.99,0.8,0.99,0.99,0.99
14,0.9489999999999998,0.9399999999999998,1.0,1.0,1.0
15,0.795,0.85,0.9880000000000001,0.9890000000000001,0.9860000000000001
16,0.8939999999999999,0.6799999999999999,0.9369999999999999,0.9380000000000001,0.9489999999999998
